"";"cluster";"x";"y";"entity";"entity_type";"size";"color"
"4306";47;-51,366776;-8,991076;"МАЛИНИНА Н.Л.";"author";1;"#BA671F"
"4307";33;-22,90122;-4,541639;"ПОНОМАРЕНКО ИЛЬЯ НИКОЛАЕВИЧ";"author";1;"#BA2B7F"
"4308";41;-29,083258;-10,064362;"ПОДЛИПЬЯН ПАВЕЛ ЕВГЕНЬЕВИЧ";"author";1;"#BA52DA"
"4309";32;35,45661;-15,631792;"ПОЖОГА В.А.";"author";1;"#BAE753"
"4310";40;4,0690594;15,375605;"ТЕРНОВСКОВ ВЛАДИМИР БОРИСОВИЧ";"author";1;"#BA0DAE"
"4311";12;-12,793144;-28,881828;"СЕВЕРИН В.В.";"author";1;"#A020F0"
"4312";35;33,82053;-50,548477;"СИЛКИН СЕРГЕЙ АНДРЕСОВИЧ";"author";1;"#BAC983"
"4313";18;-16,979612;35,62987;"ХОВРИН АНДРЕЙ ЮРЬЕВИЧ";"author";1;"#BB9A34"
"4314";2;34,30382;27,65798;"АФОНСКАЯ ТАТЬЯНА АЛЕКСЕЕВНА";"author";1;"#0088AE"
"4315";27;-15,111636;30,63769;"ПОЛКОВСКИЙ Л.М.";"author";1;"#BB06BB"
"4316";15;-9,227639;-16,912195;"СТОЛЯРЧУК В.А.";"author";1;"#87CEEB"
"4317";10;-6,4140453;16,621374;"ТАРАСОВА ЕЛЕНА ВЛАДИМИРОВНА";"author";1;"#E100A5"
"4318";20;17,619764;-42,34507;"ЧЕРКАСОВА МАРИЯ ВЛАДИМИРОВНА";"author";1;"#BB10DD"
"4319";25;21,71084;-32,345657;"АХМЕТЖАНОВ Р.В.";"author";1;"#BB68B6"
"4320";13;-1,8599279;50,031982;"ПОНОМАРЕВА ДИАНА ИГОРЕВНА";"author";1;"#C0C0C0"
"4321";43;21,382275;54,389103;"СКАЧКО Г.";"author";1;"#BAF0DE"
"4322";24;-45,31598;-33,268078;"КУТЕЙНИКОВА ЕКАТЕРИНА НИКОЛАЕВНА";"author";1;"#BB248B"
"4323";40;7,7240734;26,7764;"ФЕТИСОВ А.Г.";"author";1;"#BA0DAE"
"4324";44;-19,93654;-40,522984;"РУДЕНКО Е.А.";"author";1;"#BA215C"
"4325";16;13,237168;-13,122249;"РЕПНЕВ ДМИТРИЙ НИКОЛАЕВИЧ";"author";1;"#BBFD30"
"4326";16;13,339742;-13,6724415;"ПОЛИЦАРНОВ ГЕОРГИЙ КОНСТАНТИНОВИЧ";"author";1;"#BBFD30"
"4327";35;39,870293;-47,552082;"TERYAEV D.A.";"author";1;"#BAC983"
"4328";26;-0,74707085;-0,5800822;"ВОРОНЦОВ В.А.";"author";1;"#BBC18F"
"4329";41;-18,736135;-6,15545;"ЕСКИН ВЛАДИМИР ИВАНОВИЧ";"author";1;"#BA52DA"
"4330";25;26,031553;-33,232487;"ГРОМАКОВ Ю.А.";"author";1;"#BB68B6"
"4331";35;35,6899;-37,127552;"БОРИСОВ ЮРИЙ ЮРЬЕВИЧ";"author";1;"#BAC983"
"4332";25;23,793917;-26,940697;"ЕЖОВ А.Д.";"author";1;"#BB68B6"
"4333";49;-32,5644;14,284357;"НАЙДЕНОВ А.В.";"author";1;"#BADDC8"
"4334";25;17,525145;-38,74118;"ХАИНГ МИН ";"author";1;"#BB68B6"
"4335";38;-13,966484;36,173557;"ТИТОВ Н.В.";"author";1;"#BA9705"
"4336";47;-52,865597;-9,561795;"КОРОБКОВ К.А.";"author";1;"#BA671F"
"4337";20;4,796929;-34,318127;"БАКУЛИН В.Н.";"author";1;"#BB10DD"
"4338";27;-14,314438;31,516684;"КОРЖУЕВА ЛЮДМИЛА МИХАЙЛОВНА";"author";1;"#BB06BB"
"4339";31;2,23226;-50,98102;"ПРОКОФЬЕВ АЛЕКСАНДР ИВАНОВИЧ";"author";1;"#BAB5D5"
"4340";45;10,540352;-14,111177;"ГОРЮНОВ А.В.";"author";1;"#BA6687"
"4341";34;-28,719246;57,37313;"УЛЬЯНОВА А.В.";"author";1;"#BA8458"
"4342";45;4,788346;-11,6117525;"ТКАЧЁВ АЛЕКСАНДР БОРИСОВИЧ";"author";1;"#BA6687"
