"";"cluster";"x";"y";"entity";"entity_type";"size";"color";"display"
"216";37;12,750292;-61,570393;"air_conditioning_arrangement";"ngram";1;"#BA3F2C";"AIR CONDITIONING ARRANGEMENT"
"217";28;-64,60749;-50,520874;"air_conditioning_pack";"ngram";1;"#BB3739";"AIR CONDITIONING PACK"
"218";0;-7,299049;-71,116844;"air_control_valve";"ngram";1;"#D01702";"AIR CONTROL VALVE"
"219";37;9,652322;-59,657967;"air_curtain";"ngram";1;"#BA3F2C";"AIR CURTAIN"
"220";0;-24,501001;-69,34993;"air_deflector";"ngram";1;"#D01702";"AIR DEFLECTOR"
"221";33;-42,458923;-47,56971;"air_duct_assembly";"ngram";1;"#BA2B7F";"AIR DUCT ASSEMBLY"
"222";37;17,66115;-70,682625;"air_ejector";"ngram";1;"#BA3F2C";"AIR EJECTOR"
"223";18;9,157582;-62,60612;"air_exhaust";"ngram";1;"#BB9A34";"AIR EXHAUST"
"224";18;4,365404;-67,658134;"air_exit";"ngram";1;"#BB9A34";"AIR EXIT"
"225";18;4,8401737;-67,02383;"air_feed_tube";"ngram";1;"#BB9A34";"AIR FEED TUBE"
"226";18;-1,1395024;-69,093445;"air_film";"ngram";1;"#BB9A34";"AIR FILM"
"227";0;-8,606582;-83,270164;"air_flow_duct";"ngram";1;"#D01702";"AIR FLOW DUCT"
"228";37;17,52503;-61,081158;"air_flow_sensor";"ngram";1;"#BA3F2C";"AIR FLOW SENSOR"
"229";37;9,241942;-57,855766;"air_flow_system";"ngram";1;"#BA3F2C";"AIR FLOW SYSTEM"
"230";18;1,4388286;-62,408627;"air_guide_channel";"ngram";1;"#BB9A34";"AIR GUIDE CHANNEL"
"231";18;2,986998;-67,11263;"air_guide_duct";"ngram";1;"#BB9A34";"AIR GUIDE DUCT"
"232";18;0,9558112;-63,12077;"air_guide_element";"ngram";1;"#BB9A34";"AIR GUIDE ELEMENT"
"233";37;10,747473;-60,99898;"air_handle_unit";"ngram";1;"#BA3F2C";"AIR HANDLE UNIT"
"234";37;10,476994;-62,91337;"air_heat_exchanger";"ngram";1;"#BA3F2C";"AIR HEAT EXCHANGER"
"235";0;-8,272651;-80,996284;"air_injection_system";"ngram";1;"#D01702";"AIR INJECTION SYSTEM"
"236";18;2,7761557;-61,935635;"air_injection_unit";"ngram";1;"#BB9A34";"AIR INJECTION UNIT"
"237";37;13,041173;-67,01494;"air_input";"ngram";1;"#BA3F2C";"AIR INPUT"
"238";18;3,769125;-64,12722;"air_intake_chamber";"ngram";1;"#BB9A34";"AIR INTAKE CHAMBER"
"239";18;2,257486;-63,652203;"air_intake_duct";"ngram";1;"#BB9A34";"AIR INTAKE DUCT"
"240";33;-31,058846;-58,487747;"air_intake_lip";"ngram";1;"#BA2B7F";"AIR INTAKE LIP"
